question,answer,dataset,subset,harm_q,harm_a,harm_qa,social_bias_q,social_bias_a,social_bias_qa,profanity_q,profanity_a,profanity_qa,sexual_content_q,sexual_content_a,sexual_content_qa,unethical_behavior_q,unethical_behavior_a,unethical_behavior_qa,violence_q,violence_a,violence_qa
Was John McCray a journalist?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Was ""The Way It Was"" a newspaper column?""",,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Were Black newspapers published in Columbia during the first half of the 20th-century?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray edit The Lighthouse and Informer?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was The Lighthouse and Informer a Black newspaper?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why were Black newspapers published in South Carolina?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was John McCray's career as a journalist important?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What operational challenges did Black newspaper publications face?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What did Black newspapers write about?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did journalism empower Black South Carolinians?,,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Thurgood Marshall an NAACP lawyer?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was George Elmore the plantiff in a South Carolina civil rights case?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did James Hinton write a letter to Representative John D. Long in 1944?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did I.S. Leevy run for congress in 1954?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did Modjeska Simkins testify about wronful polling practices in 1944?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the relationship like between George Elmore and John McCray?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did I.S. Leevy support the presidency of Dwight Eisenhower?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Who was Osceola McKaine?,,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Why did Modjeska Simkins testify about polling in Columbia, SC in 1944?",,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
When was The Lighthouse and Informer established?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Where was The Lighthouse and Informer published?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Peter Kelly the editor of The Lighthouse and Informer?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did J.C. Parler write to John McCray about articles in The Lighthouse and Informer?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How much did a six-month subscription to The Lighthouse and Informer cost in 1946?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was The Lighthouse and Informer created?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How was The Lighthouse and Informer publication connected to the work of the NAACP?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did The Lighthouse and Informer impact John McCray's career?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did The Lighthouse and Informer cease publication?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was The Lighthouse and Informer important?,,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was John McCray's position in the Progressive Democratic Party in 1944?,,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray receive W. J. Hunter’s support for the Re-elect Truman Campaign?,,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did John McCray write to John Oscar Floyd on September 23, 1943?",,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray apply to work with the S.C. Division of the Southern Regional Council?,,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What year did John McCray resign as the editor of The Lighthouse and Informer?,,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
