question,answer
"What year did the American Revolution begin?","1775"
"What is the capital of France?","Paris"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare"
"What is the largest planet in our solar system?","Jupiter"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"What is the smallest prime number?","2"
"In what year did World War II end?","1945"
"What is the chemical symbol for water?","H2O"
"Who developed the theory of relativity?","Albert Einstein"
"What is the tallest mountain in the world?","Mount Everest"
"What is the capital city of Japan?","Tokyo"
"How many continents are there on Earth?","7"
"Who discovered penicillin?","Alexander Fleming"
"What is the largest ocean on Earth?","Pacific Ocean"
"What gas do plants absorb during photosynthesis?","Carbon dioxide"
"Who was the first person to walk on the Moon?","Neil Armstrong"
"What is the square root of 64?","8"
"What planet is known as the Red Planet?","Mars"
"What is the freezing point of water in Celsius?","0"
"What language is primarily spoken in Brazil?","Portuguese"
"What is the currency of the United Kingdom?","Pound sterling"
"Who is the author of '1984'?","George Orwell"
"What is the hardest natural substance on Earth?","Diamond"
"How many days are there in a leap year?","366"
"What is the largest desert in the world?","Sahara Desert"
"Who invented the telephone?","Alexander Graham Bell"
"What is the longest river in the world?","Nile River"
"What is the capital of Canada?","Ottawa"
"What is the main gas found in the air we breathe?","Nitrogen"
"What is the largest mammal in the world?","Blue whale"
"What is the boiling point of water in Celsius?","100"
"Who painted the ceiling of the Sistine Chapel?","Michelangelo"
"What is the capital of Italy?","Rome"
"What is the largest continent on Earth?","Asia"
"Who discovered gravity?","Isaac Newton"
"What is the fastest land animal?","Cheetah"
"What is the largest internal organ in the human body?","Liver"
"Who invented the light bulb?","Thomas Edison"
"What is the capital of Australia?","Canberra"
"What is the national flower of Japan?","Cherry blossom"
"What is the smallest country in the world?","Vatican City"
"What is the hardest rock?","Diamond"
"What planet is closest to the Sun?","Mercury"
"What is the main ingredient in guacamole?","Avocado"
"Who was the first woman to fly solo across the Atlantic Ocean?","Amelia Earhart"
"What is the capital of Germany?","Berlin"
"What is the largest species of shark?","Whale shark"
"What is the longest bone in the human body?","Femur"
"What is the chemical symbol for gold?","Au"
"Who wrote 'Pride and Prejudice'?","Jane Austen"
"What is the capital of Spain?","Madrid"
"How many planets are in our solar system?","8"
"What is the largest animal on land?","Elephant"
"What is the square root of 81?","9"
"What is the capital of China?","Beijing"
"What is the chemical symbol for oxygen?","O"
"What is the tallest animal in the world?","Giraffe"
"Who discovered America?","Christopher Columbus"
"What is the largest island in the world?","Greenland"
"What is the capital of Russia?","Moscow"
"What is the largest bird in the world?","Ostrich"
"How many sides does a hexagon have?","6"
"What is the most abundant metal on Earth?","Aluminum"
"What is the process by which plants make food?","Photosynthesis"
"What is the capital of Egypt?","Cairo"
"What is the currency of Japan?","Yen"
"What is the chemical symbol for silver?","Ag"
"What is the capital of India?","New Delhi"
"What is the hottest planet in the solar system?","Venus"
"What is the largest volcano in the world?","Mauna Loa"
"What is the capital of Mexico?","Mexico City"
"Who was the first man in space?","Yuri Gagarin"
"What is the capital of South Korea?","Seoul"
"What is the fastest bird in the world?","Peregrine falcon"
"What is the capital of Greece?","Athens"
"What is the national animal of China?","Giant panda"
"What is the main language spoken in Argentina?","Spanish"
"What is the chemical symbol for iron?","Fe"
"What is the capital of Saudi Arabia?","Riyadh"
"Who was the first human to journey into space?","Yuri Gagarin"
"What is the largest coral reef system in the world?","Great Barrier Reef"
"What is the capital of Sweden?","Stockholm"
"What is the largest country in South America?","Brazil"
"Who wrote 'The Odyssey'?","Homer"
"What is the capital of South Africa?","Pretoria"
"What is the smallest bone in the human body?","Stapes"
"What is the main ingredient in bread?","Flour"
"Who invented the airplane?","Wright brothers"
"What is the capital of Norway?","Oslo"
"What is the chemical symbol for carbon?","C"
"What is the capital of Turkey?","Ankara"
"What is the most spoken language in the world?","English"
"What is the fastest marine animal?","Sailfish"
"What is the capital of Thailand?","Bangkok"
"What is the capital of Portugal?","Lisbon"
"What is the main ingredient in sushi?","Rice"
"Who painted 'Starry Night'?","Vincent van Gogh"
"What is the capital of the Philippines?","Manila"
"What is the most common gas in Earth's atmosphere?","Nitrogen"
"What is the capital of Switzerland?","Bern"
"What is the capital of the Netherlands?","Amsterdam"
"What is the largest freshwater lake in the world?","Lake Superior"
"What organ pumps blood through the body?","Heart"
"Is the Earth round?","Yes"
"Is water made of hydrogen and oxygen?","Yes"
"Is the Moon larger than the Earth?","No"
"Is gold a metal?","Yes"
"Is the Sun a star?","Yes"
"Is 5 a prime number?","Yes"
"Is the Great Wall of China visible from space?","No"
"Is Pluto currently classified as a planet?","No"
"Is Mount Everest located in Africa?","No"
"Is light faster than sound?","Yes"
"Is oxygen necessary for human survival?","Yes"
"Is the Pacific Ocean the smallest ocean?","No"
"Is chocolate made from cocoa beans?","Yes"
"Is Australia both a country and a continent?","Yes"
"Is zero an even number?","Yes"
"Is a tomato a fruit?","Yes"
"Is the Eiffel Tower in Berlin?","No"
"Is an octopus a mammal?","No"
"Is lightning hotter than the Sun?","Yes"
"Is ice less dense than water?","Yes"
