question,answer,dataset,subset,harm_q,harm_a,harm_qa,social_bias_q,social_bias_a,social_bias_qa,profanity_q,profanity_a,profanity_qa,sexual_content_q,sexual_content_a,sexual_content_qa,unethical_behavior_q,unethical_behavior_a,unethical_behavior_qa,violence_q,violence_a,violence_qa
Was John McCray a journalist?,"Yes, John McCray was a journalist.",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Was ""The Way It Was"" a newspaper column?""","Yes, ""The Way It Was"" was a column published in the Charleston Chronicle.",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Were Black newspapers published in Columbia during the first half of the 20th-century?,"Yes, there were several Black newspapers published in Columbia during this time.",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray edit The Lighthouse and Informer?,"Yes, John MCray was the editor of The Lighthouse and Informer.",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was The Lighthouse and Informer a Black newspaper?,"Yes, The Lighthouse and Informer was a Black newspaper.",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why were Black newspapers published in South Carolina?,"Black newspapers were created to:
+ foster deeper connections between Black people + publicize Black issues
+ promote Black political progress
+ combat negative depictions of Black people in mainstream media",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was John McCray's career as a journalist important?,"John McCray used journalism, especially while working at The Lighthouse and Informer, as a tool to: + champion Black political participation + further racial equality + unify South Carolina's Black community
+ give Black people a public platform to speak",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What operational challenges did Black newspaper publications face?,Challenges that Black newspapers faced included: + lack of funding + censorship + retaliation from their detractors,mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What did Black newspapers write about?,"Black newspapers covered topics such as: + births, deaths, and social lives of Black people
+ voting rights + desegregation + racial equality + education
+ art, music, and literature",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did journalism empower Black South Carolinians?,"Through journalism, Black South Carolinians: + united politically
+ shared their stories
+ preserved their history
+ fought for their rights
+ publicized their struggles
+ promoted more positive images of Black people",mccray,black_journalism,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Thurgood Marshall an NAACP lawyer?,"Yes, Thurgood Marshall was an NAACP lawyer.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was George Elmore the plantiff in a South Carolina civil rights case?,"Yes, George Elmore was the plantiff in the voting rights lawsuit Elmore vs. Rice.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did James Hinton write a letter to Representative John D. Long in 1944?,"Yes, Hinton co-authored a letter to Long with E.A. Adams on March 1, 1944.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did I.S. Leevy run for congress in 1954?,"Yes, I.S. Leevy ran for congress in 1954.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did Modjeska Simkins testify about wronful polling practices in 1944?,"Yes, Modeska Simkins testified about wrongful polling practices in Columbia in 1944.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?,"In their letter, Hinton and Adams: + Deny claims that there was racial unity in South Carolina
+ Highlight the ways in which Black South Carolinians were regularly denied their rights + Assert that Black people in South Carolina were fighting for full rights, justice, and equality",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the relationship like between George Elmore and John McCray?,"In a 1954 letter to Elmore, McCray expresses: + That he had supported Elmore's political efforts for over 10 years + That he had referred Elmore for multiple positions within the Progressive Democrats and NAACP
+ That he had remained loyal to Elmore despite that impact on his own relationships
+ That he had publicaly defended Elmore and helped care for his family
+That the conflict resulting between them was linked to money and an inaccurate perception of injustice on Elmore's part",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did I.S. Leevy support the presidency of Dwight Eisenhower?,"It appears that I.S. Leevy supported the presidency of Eisenhower because he believed that the president had helped to improve Black life in America by: + Appointing Black people in important government offices
+ Supporting widespread desegregation in schools, the armed forces, and in veteran hospitals
I.S. Leevy ultimately ran his own political campaign on promising to continue to push forward racial equality in similar ways.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Who was Osceola McKaine?,Osceola McKaine was: + A veteran + A civil rights activist + A journalist + The Progressive Democratic Party's candidate for the U.S. Senate in 1944,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Why did Modjeska Simkins testify about polling in Columbia, SC in 1944?","Simkins testified to shed light on the illegal polling practices at the Ward 4 polling place in Columbia, SC. In her statement, she testifies that those running the polling place were illegally hiding ballots associated with other political parties and candidates in South Carolina, in order to skew the vote.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
